x,y,z,w
900,-200,1.0239600329597653,0.2311632900791344
1000,-200,1.0017693241160515,0.041115123766223644
1100,-200,1.0,0.032840168203386554
1200,-200,1.0,0.032840168203386554
-1200,-100,1.0035271828024561,0.048669325258225704
-1100,-100,1.025060983962613,0.2606921698094091
-1000,-100,1.0273380462716792,0.4074437674495177
-900,-100,1.0248884345919655,0.503430920880066
-800,-100,1.0197190216531133,0.5156778596328248
-700,-100,1.0193502190701658,0.5206154959362669
-600,-100,1.0190744974765844,0.49465621185127145
-500,-100,1.019678800081549,0.5107733416061713
-400,-100,1.0200003787658296,0.47906743635634075
-300,-100,1.0206952497165713,0.46419977127580025
-200,-100,1.0196468624464794,0.47443117688211733
-100,-100,1.0200942005919926,0.4786802149264893
0,-100,1.0202159248977425,0.47531611294116366
100,-100,1.0208673426436976,0.46533431144113047
200,-100,1.0194668484680978,0.47680757427276843
300,-100,1.019715935748065,0.4897597645756855
400,-100,1.0193740941731582,0.4465715461791201
500,-100,1.018347586763141,0.4225636217168398
600,-100,1.0178842301422717,0.4356107387878503
700,-100,1.0205510506162523,0.4403072270052955
800,-100,1.0231650283137865,0.36482080140268014
900,-100,1.0241365475739352,0.2921359416812175
1000,-100,1.0043902547509416,0.05313183085624981
1100,-100,1.0,0.032840168203386554
1200,-100,1.0,0.032840168203386554
-1200,0,1.0047960351890386,0.05414210799744032
-1100,0,1.026039331527969,0.28215770159988607
-1000,0,1.028597665258873,0.4361041564481912
-900,0,1.0241771453570803,0.5648613159015567
-800,0,1.0195780564987136,0.4978587480023501
-700,0,1.02112639012038,0.5166260446713696
-600,0,1.021004682127049,0.481474183432842
-500,0,1.0187252329629775,0.4562417479221863
-400,0,1.0189873015105455,0.44450668355687917
-300,0,1.0192200302800145,0.4523372783531828
-200,0,1.0200635823057003,0.49197101767400986
-100,0,1.0201817900030719,0.4918306473960443
0,0,1.0233151691202496,0.6375901377729798
100,0,1.0196737396687492,0.46685351930138563
200,0,1.0190849095230292,0.45686432311526803
300,0,1.0188968039837454,0.4422345380576216
400,0,1.0180720213188412,0.4314013249985091
500,0,1.0183241649717534,0.4521298548053909
600,0,1.0178576333987208,0.42647925337420944
700,0,1.0199226937192787,0.4456995477861676
800,0,1.024671448977156,0.36465181842128114
900,0,1.0248170502904637,0.2826988171596382
1000,0,1.005140612025255,0.05594787584917407
1100,0,1.0,0.032840168203386554
1200,0,1.0,0.032840168203386554
-1200,100,1.005464995834038,0.05691458590170974
-1100,100,1.027265730894709,0.2937301317157045
-1000,100,1.030651542535799,0.4444525860588213
-900,100,1.0251629524078052,0.5258874959654789
-800,100,1.0197086816734038,0.48216964636048143
-700,100,1.0209319535142491,0.47806680709116667
-600,100,1.0201485456232275,0.4758136026005376
-500,100,1.019323874066473,0.4793190657630264
-400,100,1.018561288689804,0.44976253603097477
-300,100,1.01908074224354,0.46524447631497834
-200,100,1.018977857318636,0.463928196346144
-100,100,1.020034817646906,0.47576310396031335
0,100,1.0192787250640334,0.5011197543838997
100,100,1.0212578313101601,0.45115936667580714
200,100,1.020854705880912,0.4992367306830576
300,100,1.0193360404382565,0.44748096867349274
400,100,1.018547302672299,0.4710690644367571
500,100,1.018167378552171,0.4447703315550564
600,100,1.0180865857290635,0.43165771792411267
700,100,1.0208693806932976,0.4376707435815893
800,100,1.0244062724832377,0.3342878757087471
900,100,1.024623969438486,0.2895233723949807
1000,100,1.0046710055996901,0.05346234685894424
1100,100,1.0,0.032840168203386554
1200,100,1.0,0.032840168203386554
-1200,200,1.001813525734228,0.040899659609349104
-1100,200,1.0288407347742452,0.2464142816474391
-1000,200,1.0319503463786763,0.4190648215379362
-900,200,1.0269507384803742,0.4908558404092423
-800,200,1.0188722916386277,0.5066328991263506
-700,200,1.0182971807042067,0.5043853787649673
-600,200,1.0185168840414027,0.487774623131335
-500,200,1.018916187453229,0.43678974940456516
-400,200,1.018707526545051,0.4603574297915448
-300,200,1.0186584026396073,0.4280112655258841
-200,200,1.0189452105615802,0.45904574030950646
-100,200,1.0194953798582076,0.4711549070169904
0,200,1.0206776512779092,0.5008996461316069
100,200,1.0213140756335213,0.4676888191676937
200,200,1.0208472341863282,0.4801240820284097
300,200,1.0202869684756908,0.47397131253957525
400,200,1.0187187876313684,0.4554294930358627
500,200,1.0180649093716743,0.4692096614780489
600,200,1.0181607573300648,0.47298116214280295
700,200,1.0210889458764236,0.4221797391877694
800,200,1.0215298396562915,0.2926527785567121
900,200,1.0231817541416883,0.20993943682635785
1000,200,1.0014140817296464,0.03901677530535862
1100,200,1.0,0.032840168203386554
1200,200,1.0,0.032840168203386554
-1200,300,1.0,0.032840168203386554
-1100,300,1.0298484578025935,0.2128516872729472
-1000,300,1.0342944157908387,0.38154952207757903
-900,300,1.029104639320821,0.4781925262248672
-800,300,1.0197972523171026,0.5136353922330485
-700,300,1.0182899815866577,0.4932857328190779
-600,300,1.0184977451824813,0.4705282237717954
-500,300,1.019249629791439,0.4489070058687165
-400,300,1.019010163020672,0.44670753320957435
-300,300,1.0181943755919265,0.43877265855620007
-200,300,1.0194846180795742,0.4825463557455022
-100,300,1.0196268733922718,0.46521446836227903
0,300,1.0192990927735817,0.5090696540568598
100,300,1.0202855964916602,0.4996659911574575
200,300,1.0208023814010745,0.5099780744119237
300,300,1.019835564008596,0.486123186158793
400,300,1.0190679655851131,0.494571377386786
500,300,1.0189051261249182,0.468501497784282
600,300,1.0192896735734958,0.4464374330584641
700,300,1.0224311481598671,0.42996048419414223
800,300,1.0227475811790847,0.30868492351782006
900,300,1.021323080158596,0.17509066456410835
1000,300,1.0,0.032840168203386554
1100,300,1.0,0.032840168203386554
1200,300,1.0,0.032840168203386554
-1200,400,1.0,0.032840168203386554
-1100,400,1.0269168738258105,0.16887120831692237
-1000,400,1.035351563411298,0.3308426514770406
-900,400,1.0324440102857217,0.47847867330066274
-800,400,1.0242069785705517,0.49253417255021953
-700,400,1.0185275285004756,0.47182651085738925
-600,400,1.019464961090445,0.489000919024968
-500,400,1.019599209589424,0.46777481062988024
-400,400,1.019335727490744,0.44770247822872056
-300,400,1.01802197930238,0.44467505880395564
-200,400,1.0184701539820924,0.476095479119451
-100,400,1.018903532162843,0.5056304310204232
0,400,1.0191431596115885,0.47970416798518767
100,400,1.0211297561288892,0.4990023231266901
200,400,1.0197264197889737,0.5261134313336151
300,400,1.019840423915439,0.5022232948082419
400,400,1.0185514704479124,0.49310094201290655
500,400,1.0190230910729814,0.45922606503096064
600,400,1.0225603633975073,0.4528038748536137
700,400,1.0222492523991573,0.3529061551813891
800,400,1.022364124289189,0.22838295678637582
900,400,1.0174633859073792,0.12485617960145035
1000,400,1.0,0.032840168203386554
1100,400,1.0,0.032840168203386554
1200,400,1.0,0.032840168203386554
-1200,500,1.0,0.032840168203386554
-1100,500,1.0105611490762518,0.08012935281951084
-1000,500,1.034984037466318,0.2492551424447675
-900,500,1.038502910993137,0.4155341223490168
-800,500,1.0305974869878265,0.5044228401749218
-700,500,1.0213668707073307,0.48026236042694326
-600,500,1.0194190804015824,0.5050388231028322
-500,500,1.0193110980743507,0.4637193086411154
-400,500,1.0193505297803003,0.4784095105569002
-300,500,1.0191230766201704,0.4739568627725955
-200,500,1.0186731596942673,0.44131746976885755
-100,500,1.0188273024321046,0.4576338524781175
0,500,1.0197251266770762,0.5242837094976616
100,500,1.0186529275886962,0.5342608403948461
200,500,1.0194991539665297,0.536786782948898
300,500,1.0192121725454109,0.5297019895198782
400,500,1.018418276278121,0.4663527862537083
500,500,1.0210362953046002,0.47164337877672285
600,500,1.0258879555804719,0.40876455507057163
700,500,1.0231945932627973,0.3186451305881197
800,500,1.0245706350218406,0.20492445353245442
900,500,1.0091838860340212,0.07411199652708
1000,500,1.0,0.032840168203386554
1100,500,1.0,0.032840168203386554
1200,500,1.0,0.032840168203386554
-1200,600,1.0,0.032840168203386554
-1100,600,1.0,0.032840168203386554
-1000,600,1.025966845699013,0.16356458404908555
-900,600,1.0445836838625218,0.33874955526120454
-800,600,1.0376334916019194,0.44389260645384754
-700,600,1.031093741124375,0.5375063403034774
-600,600,1.0217263599223219,0.48326158046537215
-500,600,1.019695675276837,0.4745771956796986
-400,600,1.02022561444504,0.5154367336702337
-300,600,1.0209963309733228,0.5133263030988473
-200,600,1.0191416601047982,0.4579704153875389
-100,600,1.0186529563822913,0.49147910045518606
0,600,1.0187155377634853,0.505467756905585
100,600,1.0185260523261868,0.5151429087452739
200,600,1.0194839977670338,0.46672320771211495
300,600,1.0192906443280108,0.45890707016976573
400,600,1.0214715153359444,0.45990657753800124
500,600,1.028436070932352,0.4904469996841852
600,600,1.025083076712992,0.3231705578672214
700,600,1.0253239081112187,0.24876020833936946
800,600,1.0171317485005629,0.1251914446726703
900,600,1.0,0.032840168203386554
1000,600,1.0,0.032840168203386554
1100,600,1.0,0.032840168203386554
1200,600,1.0,0.032840168203386554
-1200,700,1.0,0.032840168203386554
-1100,700,1.0,0.032840168203386554
-1000,700,1.006105892481399,0.05982644925334094
-900,700,1.0332613318161266,0.21941362683901644
-800,700,1.0543862568830145,0.42478390398879784
-700,700,1.0408006561273861,0.49551001600665145
-600,700,1.0338200212504125,0.532492277977108
-500,700,1.024983837111392,0.49115688010915237
-400,700,1.0220346524809276,0.4781258435047962
-300,700,1.0216903095582284,0.4722446613848217
-200,700,1.0197415307799509,0.484955426887985
-100,700,1.0183348330735575,0.500907634104427
0,700,1.0184857902181796,0.4913413678339179
100,700,1.018680024350938,0.48327161388853856
200,700,1.0202320579211042,0.4796134419369798
300,700,1.0238349298301797,0.48651489530824743
400,700,1.031896524953083,0.5211995457933802
500,700,1.030166435371173,0.41019984180324265
600,700,1.0261443064659552,0.2665156814806956
700,700,1.0217518382379,0.1620089214102775
800,700,1.004406236472895,0.05225343748915993
900,700,1.0,0.032840168203386554
1000,700,1.0,0.032840168203386554
1100,700,1.0,0.032840168203386554
1200,700,1.0,0.032840168203386554
-1200,800,1.0,0.032840168203386554
-1100,800,1.0,0.032840168203386554
-1000,800,1.0,0.032840168203386554
-900,800,1.0096462600099436,0.0755977084732066
-800,800,1.0320370403723302,0.21126881192393324
-700,800,1.0594060397697125,0.4461998431654239
-600,800,1.0448229099990043,0.4638094842453322
-500,800,1.0429324552870174,0.5509652957102504
-400,800,1.0397195005861224,0.5888978336110244
-300,800,1.0294162542974326,0.5625388841515978
-200,800,1.0267321581450057,0.5427721561858734
-100,800,1.0248836988869907,0.5323977821519711
0,800,1.0256585568800807,0.5258725406726541
100,800,1.0290722224332745,0.5217355518451416
200,800,1.0348714351635897,0.5218893507337214
300,800,1.0408475137118018,0.5212998669867697
400,800,1.032735893868294,0.36257939455461863
500,800,1.0279758706445574,0.27987895614839964
600,800,1.0217016737867328,0.16476955337738847
700,800,1.006767631565467,0.06310321309758661
800,800,1.0,0.032840168203386554
900,800,1.0,0.032840168203386554
1000,800,1.0,0.032840168203386554
1100,800,1.0,0.032840168203386554
1200,800,1.0,0.032840168203386554
-1200,900,1.0,0.032840168203386554
-1100,900,1.0,0.032840168203386554
-1000,900,1.0,0.032840168203386554
-900,900,1.0,0.032840168203386554
-800,900,1.0055621621995257,0.057258881307702646
-700,900,1.0222771908932595,0.14701125172012725
-600,900,1.0637886394459077,0.4082188515709767
-500,900,1.052368920557699,0.4252880296233595
-400,900,1.0457013162152757,0.455142761847493
-300,900,1.0471050416822296,0.578355770882809
-200,900,1.0483265002076647,0.5732167054838238
-100,900,1.0471991465737578,0.5992889203481336
0,900,1.0477989800815275,0.5683426276203771
100,900,1.0474088064858194,0.5567114624262339
200,900,1.0392003524578952,0.4009642645272936
300,900,1.0332513220755775,0.30466217796287387
400,900,1.0289889712919242,0.23365758820149243
500,900,1.0182270245654659,0.13550350978614656
600,900,1.004054971933909,0.05067734438049682
700,900,1.0,0.032840168203386554
800,900,1.0,0.032840168203386554
900,900,1.0,0.032840168203386554
1000,900,1.0,0.032840168203386554
1100,900,1.0,0.032840168203386554
1200,900,1.0,0.032840168203386554
-1200,1000,1.0,0.032840168203386554
-1100,1000,1.0,0.032840168203386554
-1000,1000,1.0,0.032840168203386554
-900,1000,1.0,0.032840168203386554
-800,1000,1.0,0.032840168203386554
-700,1000,1.0,0.032840168203386554
-600,1000,1.011155013595941,0.08240643829282654
-500,1000,1.0206879586821453,0.13524119759021183
-400,1000,1.0426664288676588,0.2793426213464943
-300,1000,1.050997206435568,0.3797371367524882
-200,1000,1.0486429906526211,0.39657541424818843
-100,1000,1.044150721144224,0.4095809787771871
0,1000,1.0410528864871624,0.35426743326050003
100,1000,1.0374243524041664,0.3124812980802941
200,1000,1.0279454448255814,0.19844945103974967
300,1000,1.018292576881227,0.1251908419230527
400,1000,1.006710895166003,0.06280499572055889
500,1000,1.0,0.032840168203386554
600,1000,1.0,0.032840168203386554
700,1000,1.0,0.032840168203386554
800,1000,1.0,0.032840168203386554
900,1000,1.0,0.032840168203386554
1000,1000,1.0,0.032840168203386554
1100,1000,1.0,0.032840168203386554
1200,1000,1.0,0.032840168203386554
-1200,1100,1.0,0.032840168203386554
-1100,1100,1.0,0.032840168203386554
-1000,1100,1.0,0.032840168203386554
-900,1100,1.0,0.032840168203386554
-800,1100,1.0,0.032840168203386554
-700,1100,1.0,0.032840168203386554
-600,1100,1.0,0.032840168203386554
-500,1100,1.0,0.032840168203386554
-400,1100,1.0,0.032840168203386554
-300,1100,1.0,0.032840168203386554
-200,1100,1.0,0.032840168203386554
-100,1100,1.0,0.032840168203386554
0,1100,1.0,0.032840168203386554
100,1100,1.0,0.032840168203386554
200,1100,1.0,0.032840168203386554
300,1100,1.0,0.032840168203386554
400,1100,1.0,0.032840168203386554
500,1100,1.0,0.032840168203386554
600,1100,1.0,0.032840168203386554
700,1100,1.0,0.032840168203386554
800,1100,1.0,0.032840168203386554
900,1100,1.0,0.032840168203386554
1000,1100,1.0,0.032840168203386554
1100,1100,1.0,0.032840168203386554
