x,y,mi,mis,sc,sc_masked,nmi,masked_mi,mis_masked
-1000,-900,0.022642251128733117,-0.0773577488712669,0.2797088623046875,-1.0,1.0044534884575083,0.0004265428626171273,-0.09957345713738287
-900,-900,0.01634446261174817,-0.08365553738825184,0.2797088623046875,-1.0,1.0031801569638803,0.0029563255444606702,-0.09704367445553934
-800,-900,0.018220656400566908,-0.08177934359943309,0.2797088623046875,-1.0,1.0035748820379937,0.007778916417436495,-0.0922210835825635
-700,-900,0.018220656400566908,-0.08177934359943309,0.2797088623046875,-1.0,1.0035748820379937,0.007778916417436495,-0.0922210835825635
-600,-900,0.08358611501425078,-0.012442285252001722,0.279998779296875,-0.960284002662525,1.0157172875532443,0.011603392750633029,-0.08767550673904968
-500,-900,0.17714674536620098,0.08941100096859725,0.2839508056640625,-0.8773574439760373,1.029176483956669,0.012627354494305017,-0.08139305819706397
-400,-900,0.24051690182194593,0.16876185411837372,0.287872314453125,-0.7175504770357222,1.0342180677149884,0.016376055467065418,-0.07220836876191174
-300,-900,0.27228965468907784,0.21761359522602036,0.2952423095703125,-0.5467605946305747,1.0349093131687341,0.015663571634432265,-0.06612032008955265
-200,-900,0.27953685625325564,0.23850069028919973,0.2981109619140625,-0.41036165964055915,1.0343302747017566,0.01976237216584622,-0.05380097374052165
-100,-900,0.26181945112832816,0.22262486492908254,0.2974700927734375,-0.3919458619924562,1.0316525895985573,0.016018645381046578,-0.05968581434826338
0,-900,0.27421152220161893,0.23858915699194508,0.3000640869140625,-0.3562236520967384,1.0330683425233294,0.02016183765151066,-0.05114945589186632
100,-900,0.27515310915560665,0.2224739434134278,0.2964324951171875,-0.5267916574217884,1.0336920408479566,0.023271778857270654,-0.05693678559802112
200,-900,0.26343354816975445,0.20629465311761333,0.2908477783203125,-0.5713889505214111,1.0333352316020215,0.022138907065643514,-0.06392721230422557
300,-900,0.23614454749476324,0.16337441214974438,0.2870025634765625,-0.7277013534501886,1.0324316523064,0.026564431098762845,-0.0637395405009709
400,-900,0.18118899267547045,0.09757461504068012,0.2823028564453125,-0.8361437763479033,1.0287982217012548,0.015120938403040737,-0.0820723165337243
500,-900,0.11236832482431575,0.015579995558728868,0.2805633544921875,-0.9678832926558687,1.0205393205049196,0.013788734857394382,-0.08525719369818582
600,-900,0.02005577382249349,-0.07994422617750652,0.2797088623046875,-1.0,1.0039321160304349,0.007908297936194951,-0.09209170206380506
700,-900,0.018220656400566908,-0.08177934359943309,0.2797088623046875,-1.0,1.0035748820379937,0.007778916417436495,-0.0922210835825635
800,-900,0.016632624857989227,-0.08336737514201079,0.2797088623046875,-1.0,1.0032568881369335,0.006721282417047569,-0.09327871758295243
900,-900,0.014138782041834419,-0.08586121795816559,0.2797088623046875,-1.0,1.0027549526127577,0.007703790860545758,-0.09229620913945424
1000,-900,0.01410839813210259,-0.08589160186789742,0.2797088623046875,-1.0,1.0029069178198606,0.003415016978738729,-0.09658498302126128
1100,-900,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
1200,-900,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1200,-800,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1100,-800,0.006826541181354551,-0.09317345881864546,0.2797088623046875,-1.0,1.001425210430936,6.110727787336247e-05,-0.09993889272212664
-1000,-800,0.023822588366524455,-0.07617741163347555,0.2797088623046875,-1.0,1.0046295011895923,0.0009604868668086058,-0.0990395131331914
-900,-800,0.023779487279489572,-0.07622051272051043,0.2797088623046875,-1.0,1.0049313642587283,0.006164447603565822,-0.09383555239643418
-800,-800,0.005942546580601535,-0.09405745341939847,0.2797088623046875,-1.0,1.0012916383417552,0.00023447663972693132,-0.09976552336027307
-700,-800,0.12021662784058106,0.027582946899822228,0.2806396484375,-0.9263368094075882,1.0229174197231492,0.008389454279408192,-0.08980224751779615
-600,-800,0.20719968370872482,0.13347547691928618,0.2840728759765625,-0.7372420678943865,1.0322690271336374,0.008341938580176417,-0.08221719166166962
-500,-800,0.25957154836224217,0.21448057875940213,0.2916717529296875,-0.45090969602840025,1.0337206033684483,0.012302376106410365,-0.06597585775203206
-400,-800,0.2652047043288862,0.24816454457738854,0.3021392822265625,-0.17040159751497672,1.0306293475847663,0.012613971320590313,-0.05298398741027279
-300,-800,0.2694587764943334,0.2879744188284803,0.3109130859375,0.18515642334146884,1.0289890582411352,0.010271576358429926,-0.04947992131186073
