x,y,z,w
300,-700,0.19990306252406523,0.4813351060409048
400,-700,0.3157457069831119,0.4867942776401082
500,-700,0.23419268627688553,0.36309396323379306
600,-700,0.17921734673625947,0.2791845547915043
700,-700,0.11214791382350323,0.16485614267269885
800,-700,0.024759600476746194,0.05764799212830285
900,-700,-6.650887377409963e-16,0.032840168203386554
1000,-700,-6.650887377409963e-16,0.032840168203386554
1100,-700,-6.650887377409963e-16,0.032840168203386554
1200,-700,-6.650887377409963e-16,0.032840168203386554
-1200,-600,-6.650887377409963e-16,0.032840168203386554
-1100,-600,-6.650887377409963e-16,0.032840168203386554
-1000,-600,0.07904705446913615,0.11786693024553366
-900,-600,0.1594410544169449,0.247111283188983
-800,-600,0.19003455607711084,0.3689917722338949
-700,-600,0.21816831167602424,0.4363794146427308
-600,-600,0.20214389787261156,0.49809119928845197
-500,-600,0.17593340048974027,0.5023579211486655
-400,-600,0.17485174497659067,0.510872731821234
-300,-600,0.1811099720895808,0.48144560728884006
-200,-600,0.1788015918140529,0.4925433456044159
-100,-600,0.17987468097728054,0.4531569617534852
0,-600,0.17734665579834108,0.43746393522428917
100,-600,0.17447046863100218,0.4648238500591878
200,-600,0.17983160513664243,0.4203219411576293
300,-600,0.1770979657256816,0.48789808917770894
400,-600,0.2040814282286901,0.44216059184120504
500,-600,0.25995002834283887,0.4910850154189548
600,-600,0.23242855548646263,0.410421302679858
700,-600,0.16512757008205553,0.25964552849415384
800,-600,0.08843759922894037,0.1300544349991653
900,-600,0.0003152689503057019,0.03315543715369292
1000,-600,-6.650887377409963e-16,0.032840168203386554
1100,-600,-6.650887377409963e-16,0.032840168203386554
1200,-600,-6.650887377409963e-16,0.032840168203386554
-1200,-500,-6.650887377409963e-16,0.032840168203386554
-1100,-500,0.03619009722479207,0.06903026542817929
-1000,-500,0.13686306705822854,0.19945710278215895
-900,-500,0.1729309004124797,0.273621460190266
-800,-500,0.21446125772383964,0.4144921207306681
-700,-500,0.20737425202537424,0.5027910955113508
-600,-500,0.1793712691362708,0.5138491056394922
-500,-500,0.18729692818986152,0.48980261855674556
-400,-500,0.1791459306520215,0.4678114913942768
-300,-500,0.1767596482711808,0.46503942142808063
-200,-500,0.1705902959886169,0.44522283331356577
-100,-500,0.17890845298781788,0.4975689984914636
0,-500,0.1794639829238724,0.45033509129160515
100,-500,0.18369738974103184,0.46864974497424045
200,-500,0.19293060109373245,0.4801494583909046
300,-500,0.18482429027676517,0.4839061158236191
400,-500,0.1843472743535837,0.48198239645535446
500,-500,0.20360655161845337,0.5213026281587103
600,-500,0.24839237710524917,0.46819485386154713
700,-500,0.2056308128733974,0.36298392425027326
800,-500,0.14036054204053,0.20763225223689588
900,-500,0.03991758582258638,0.07420445747105672
1000,-500,-6.650887377409963e-16,0.032840168203386554
1100,-500,-6.650887377409963e-16,0.032840168203386554
1200,-500,-6.650887377409963e-16,0.032840168203386554
-1200,-400,-6.650887377409963e-16,0.032840168203386554
-1100,-400,0.082951979054885,0.13566020790408062
-1000,-400,0.15927099420677654,0.2558143374419912
-900,-400,0.19619553462857817,0.3870639424832134
-800,-400,0.22854709309827712,0.4823471008140289
-700,-400,0.18481926712882513,0.5105686595133783
-600,-400,0.19119432558295818,0.5127482779767703
-500,-400,0.18307120388022222,0.47737890805830174
-400,-400,0.17897874456861934,0.43822800192751754
-300,-400,0.1808629581327759,0.4777747285120051
-200,-400,0.1760534465372346,0.46934845830375593
-100,-400,0.18488721611843276,0.4557583244861655
0,-400,0.18718261129048555,0.47030247549325555
100,-400,0.1960928251063119,0.44487759421244205
200,-400,0.20039514989176743,0.4979338250971993
300,-400,0.20377990891238373,0.4421484132139153
400,-400,0.1898164396238421,0.5374110540291506
500,-400,0.18903477089428639,0.48503029575829626
600,-400,0.21939206501071867,0.5497226849713683
700,-400,0.21850959439706827,0.39732214020934403
800,-400,0.16633611191781372,0.2620114330859785
900,-400,0.08777403097919115,0.12374872331359182
1000,-400,-6.650887377409963e-16,0.032840168203386554
1100,-400,-6.650887377409963e-16,0.032840168203386554
1200,-400,-6.650887377409963e-16,0.032840168203386554
-1200,-300,-6.650887377409963e-16,0.032840168203386554
-1100,-300,0.12427210313902734,0.19260472919512084
-1000,-300,0.17227723520576535,0.312318128689813
-900,-300,0.23347118338736894,0.47724071388387757
-800,-300,0.19500735635058242,0.48468560950439593
-700,-300,0.17831182342594276,0.4742591248417832
-600,-300,0.17888204428465349,0.4810501705143514
-500,-300,0.18645258673185708,0.46354451991344725
-400,-300,0.18111380586753517,0.46534280937820216
-300,-300,0.1860215382289327,0.48553737480931153
-200,-300,0.18708481626536583,0.4470574253468056
-100,-300,0.18078512811748063,0.43945570409834556
0,-300,0.1869010080431076,0.4815944998065427
100,-300,0.19349570553312634,0.45443278357795486
200,-300,0.22971307267865093,0.5212720403110724
300,-300,0.19974795039524545,0.4782865870219188
400,-300,0.19695529253033955,0.5007147925496289
500,-300,0.20528386363221704,0.4801575181980131
600,-300,0.1995008447570097,0.5466614481287931
700,-300,0.20190929047620368,0.4115848431169197
800,-300,0.19850088119239945,0.34669153741708214
900,-300,0.12604616117546744,0.1851681086311983
1000,-300,-6.650887377409963e-16,0.032840168203386554
1100,-300,-6.650887377409963e-16,0.032840168203386554
1200,-300,-6.650887377409963e-16,0.032840168203386554
-1200,-200,0.006127372118075459,0.03896754032146268
-1100,-200,0.15012939761472532,0.23620825259717199
