x,y,mi,mis,sc,sc_masked,mean_intensity
200,-700,0.247092283849831,0.39071331779702423,0.3133087158203125,0.7181051697359663,71.2754603949412
300,-700,0.2538153360127756,0.4165954558263989,0.3175201416015625,0.8139005990681163,60.80042156645219
400,-700,0.24651300404865345,0.38841449062509015,0.3125152587890625,0.7095074328821833,72.89777013534501
500,-700,0.2473570523169106,0.3446279642317098,0.302337646484375,0.486354559573996,98.79992234302196
600,-700,0.22668125912074544,0.2703022930679387,0.2907867431640625,0.21810516973596628,133.21122698025295
700,-700,0.17236549974199805,0.18643250662018754,0.2833099365234375,0.07033503439094742,151.97415132016863
800,-700,0.03258609967893919,0.032697038218988006,0.2797088623046875,0.0005546927002440647,160.93332593743065
900,-700,0.02116533072145413,0.02116533072145413,0.2797088623046875,0.0,162.95346128244952
1000,-700,0.03573403329543899,0.03573403329543899,0.2797088623046875,0.0,165.21854892389615
1100,-700,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
1200,-700,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1200,-600,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1100,-600,0.006826541181354551,0.006826541181354551,0.2797088623046875,0.0,165.47648102950964
-1000,-600,0.023822588366524455,0.023822588366524455,0.2797088623046875,0.0,163.6745617927668
-900,-600,0.11893225532263335,0.12451246388708864,0.280303955078125,0.02790104282227646,157.74517417350788
-800,-600,0.24254963386554693,0.27778371418504993,0.288665771484375,0.176170401597515,138.4765919680497
-700,-600,0.2909595191364406,0.371012769635664,0.30377197265625,0.40026625249611714,109.50488129576215
-600,-600,0.27356486523885915,0.41176100457766546,0.313690185546875,0.6909806966940315,75.0132016862658
-500,-600,0.24052779512567157,0.3983267744911031,0.314697265625,0.7889948968271577,61.966330153095186
-400,-600,0.24191590006676011,0.40096848493474324,0.31787109375,0.7952629243399156,63.69941202573774
-300,-600,0.24262386809897762,0.39996799945020906,0.31610107421875,0.7867206567561571,64.87879964499668
-200,-600,0.23661716267612395,0.39417207725344816,0.321685791015625,0.7877745728866208,64.44880186376747
-100,-600,0.237388139295448,0.3982157408042122,0.317291259765625,0.8041380075438207,61.4254493010872
0,-600,0.23910926440966743,0.3953440103604107,0.3188934326171875,0.7811737297537165,64.39865764366542
100,-600,0.24289847561745515,0.40114120914308193,0.3173370361328125,0.791213667628134,64.78899489682716
200,-600,0.2439694282756528,0.40344357959582144,0.3179473876953125,0.7973707566008431,63.683104060350566
300,-600,0.24202866344432156,0.4017912549686171,0.3236541748046875,0.7988129576214777,63.26059463057466
400,-600,0.2409504520952959,0.397296136586088,0.316162109375,0.7817284224539605,64.20784335478145
500,-600,0.2555363838307557,0.4032066744897307,0.31427001953125,0.7383514532948746,69.35422675837586
600,-600,0.252814868055445,0.36520670297889746,0.301300048828125,0.5619591746172621,90.87946527623697
700,-600,0.23036066981089143,0.2741259238601481,0.2903900146484375,0.21882627024628357,132.88068560017751
800,-600,0.14584531465306114,0.15509758889313213,0.279937744140625,0.046261371200355006,155.5309518526736
900,-600,0.02116533072145413,0.02116533072145413,0.2797088623046875,0.0,162.95346128244952
1000,-600,0.03573403329543899,0.03573403329543899,0.2797088623046875,0.0,165.21854892389615
1100,-600,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
1200,-600,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1200,-500,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1100,-500,0.006826541181354551,0.006826541181354551,0.2797088623046875,0.0,165.47648102950964
-1000,-500,0.05368675562187204,0.05450770081823326,0.2797088623046875,0.004104725981806079,163.05458176170401
-900,-500,0.20608501188973916,0.23224431963324926,0.2835845947265625,0.13079653871755048,143.9811404481917
-800,-500,0.25638310578869755,0.32519828218097624,0.2938385009765625,0.3440758819613934,117.50199689372087
-700,-500,0.2858213817898226,0.42919835094890846,0.3110504150390625,0.7168848457954293,70.37447304193476
-600,-500,0.24745505686986388,0.4080496874445255,0.32342529296875,0.8029731528733082,63.095351675171955
-500,-500,0.24190016351320073,0.39964367360860786,0.3255767822265625,0.7887175504770357,62.48696472154426
-400,-500,0.24078536824251665,0.3996493575924168,0.322540283203125,0.7943199467495008,63.670623474595075
-300,-500,0.23299257797968667,0.38649823584522913,0.3188018798828125,0.7675282893277124,65.34146882627024
-200,-500,0.23424422399023415,0.39051225150299207,0.3194427490234375,0.7813401375637896,63.99306634124695
-100,-500,0.23629074737230255,0.3882210779691519,0.3182525634765625,0.7596516529842468,67.76015087641447
0,-500,0.2372934876074459,0.39183087389544236,0.3134765625,0.7726869314399822,64.6677390725538
