x,y,z
200,0,0.18064041200072772
300,0,0.17888628760432118
400,0,0.1712358221243916
500,0,0.17349477128237872
600,0,0.16911071049391935
700,0,0.18765587663150535
800,0,0.20184945740125879
900,0,0.16209197328787397
1000,0,0.022770143508600793
-1000,100,0.24688111890863418
-900,100,0.23500365660742945
-800,100,0.1881512828714185
-700,100,0.1994799470163239
-600,100,0.19211505701973441
-500,100,0.18341998779535537
-400,100,0.17561223318772023
-300,100,0.18038856797810868
-200,100,0.1799885335244936
-100,100,0.19018384390090204
0,100,0.18308611370645667
100,100,0.2007832237800855
200,100,0.19745439203871518
300,100,0.18345758994582018
400,100,0.17632734922515264
500,100,0.17259719008674881
600,100,0.1717815557390118
700,100,0.19534791653016384
800,100,0.19733328290754343
900,100,0.15777691199607638
1000,100,0.020622178655557023
-1000,200,0.2485949322589732
-900,200,0.24684519267188648
-800,200,0.17987081433023933
-700,200,0.17424765259699537
-600,200,0.17634759485310503
-500,200,0.1795658768687834
-400,200,0.17728578903694428
-300,200,0.17633308952958765
-200,200,0.17968730506395264
-100,200,0.18494874213137646
0,200,0.19583811301174261
100,200,0.2020258432022603
200,200,0.19830625092621462
300,200,0.19316617384893828
400,200,0.17824111295793366
500,200,0.17181565661712533
600,200,0.1726455269435437
700,200,0.19335947762378658
800,200,0.16813983538322344
900,200,0.14040122456602838
1000,200,0.006176607101971398
-1000,300,0.24999595547135242
-900,300,0.2560271005082667
-800,300,0.1886575750192065
-700,300,0.17428762317824614
-600,300,0.17636518993822417
-500,300,0.18290646576609704
-400,300,0.18041765241793822
-300,300,0.1721934370755473
-200,300,0.18471833985105365
-100,300,0.18638649104658905
0,300,0.183561378913154
100,300,0.1933024249370185
200,300,0.19859926958186308
300,300,0.1893078626759027
400,300,0.18179409255981174
500,300,0.17988416049019618
600,300,0.18337852329418036
700,300,0.1980056984991459
800,300,0.16705265624418092
900,300,0.11722252676078286
1000,300,-6.650887377409963e-16
-1000,400,0.23164701859250686
-900,400,0.26634372480330537
-800,400,0.22619606831041394
-700,400,0.17669900806042926
-600,400,0.18577187693554242
-500,400,0.18668033125022662
-400,400,0.1840648870864035
-300,400,0.1709105435460566
-200,400,0.1750364921976501
-100,400,0.17963992139502288
0,400,0.1821654927797558
100,400,0.20156009481759707
200,400,0.188693964492058
300,400,0.1896871272221148
400,400,0.17728557995125768
500,400,0.1813625566786594
600,400,0.21033637745767986
700,400,0.18373829900300095
800,400,0.1478497983434145
900,400,0.08589163348054452
1000,400,-6.650887377409963e-16
-1000,500,0.19587178532119975
-900,500,0.279881562648388
-800,500,0.268899519315387
-700,500,0.20239885207464206
-600,500,0.18546203208396714
-500,500,0.18431264994739216
-400,500,0.1847769346531928
-300,500,0.1821085544511573
-200,500,0.17758343173020164
-100,500,0.1790469924032747
0,500,0.18773226472315438
100,500,0.17808245221537775
200,500,0.18605764441257608
300,500,0.1833611847669751
400,500,0.17595118137735322
500,500,0.19903622627489037
600,500,0.22768550719433228
700,500,0.17098493229330086
800,500,0.13905122333300224
900,500,0.04127182832369278
1000,500,-6.650887377409963e-16
-1000,600,0.12551628344339905
-900,600,0.26988647127524723
-800,600,0.28895066748544357
-700,600,0.27767840156654605
-600,600,0.20573563625025698
-500,600,0.1882745838977457
-400,600,0.19354521713923567
-300,600,0.2005007948237036
-200,600,0.18280742013272622
-100,600,0.17788201700933134
0,600,0.17851277831679602
100,600,0.17700009018117532
200,600,0.185918069021478
300,600,0.18417808594847795
400,600,0.2033096098284221
500,600,0.25439322089478666
600,600,0.1942692809103138
700,600,0.15617118785404865
800,600,0.08367105579878426
900,600,-6.650887377409963e-16
1000,600,-6.650887377409963e-16
-1000,700,0.026841610705445412
-900,700,0.16805565453856508
-800,700,0.3354258545308294
-700,700,0.31158578468841525
-600,700,0.2952811364316429
-500,700,0.23325787929899844
-400,700,0.21082327030160192
-300,700,0.20773904817545474
-200,700,0.18924924271299173
-100,700,0.17496534792719612
0,700,0.17634580439114952
100,700,0.17830652766501326
200,700,0.19273214877699368
300,700,0.22234684623606657
400,700,0.2790696125346325
500,700,0.23259288219520285
600,700,0.16524644032487595
700,700,0.11127785393602882
800,700,0.019413269285772708
900,700,-6.650887377409963e-16
1000,700,-6.650887377409963e-16
-1000,800,-6.650887377409963e-16
-900,800,0.042757540269819386
-800,800,0.16164688375758163
-700,800,0.353273258542917
-600,800,0.3220325466271847
-500,800,0.34659432236817256
-400,800,0.3445496217364825
-300,800,0.26784539238816274
-200,800,0.24875379269681042
-100,800,0.23278549867525333
0,800,0.23831611923829582
100,800,0.26393299793132663
200,800,0.3027137788036261
300,800,0.3298045543059317
400,800,0.23801822793296049
500,800,0.17132797431899488
600,800,0.11056639763494025
700,800,0.03011837454969108
800,800,-6.650887377409963e-16
900,800,-6.650887377409963e-16
1000,800,-6.650887377409963e-16
-1000,900,-6.650887377409963e-16
-900,900,-6.650887377409963e-16
-800,900,0.024418713104315426
-700,900,0.10741980077301871
-600,900,0.34398521860928544
-500,900,0.33250611534536095
-400,900,0.3251805690308579
-300,900,0.356576132751564
-200,900,0.37771884660492255
-100,900,0.37360318291516426
0,900,0.3740503549457118
100,900,0.35899532493153846
200,900,0.28055031444820716
300,900,0.21525590505673597
400,900,0.16194932077353827
500,900,0.08843742437277516
600,900,0.0178371761771096
700,900,-6.650887377409963e-16
800,900,-6.650887377409963e-16
900,900,-6.650887377409963e-16
1000,900,-6.650887377409963e-16
-1000,1000,-6.650887377409963e-16
-900,1000,-6.650887377409963e-16
-800,1000,-6.650887377409963e-16
-700,1000,-6.650887377409963e-16
-600,1000,0.04956627008943933
