x,y,mi,mis,sc,sc_masked,mean_intensity,p-cor
700,500,0.257336455,0.374676148,0.304718018,0.586698469,87.0808742,0.006404911
1000,100,0.159142285,0.16528828,0.28125,0.030729976,160.9045929,0.005407288
-1100,100,0.056903882,0.058190769,0.280029297,0.006434435,164.7550477,0.005119263
-400,-900,0.240516902,0.268706385,0.287872314,0.140947415,144.9302197,0.0048269
800,200,0.241731039,0.364229375,0.305053711,0.61249168,82.11415576,0.004815753
300,0,0.233200391,0.387471525,0.317016602,0.771355669,65.38856224,0.004770195
-1000,1000,0.009685289,0.009685289,0.279708862,0,164.9944531,0.004259398
-1100,-200,0.0206461,0.0206461,0.27973938,0,165.5404926,0.003861286
400,200,0.238608157,0.402575319,0.315856934,0.819835811,60.20823164,0.003799007
1000,300,0.09468664,0.095441022,0.279708862,0.00377191,164.7526071,0.003617675
-500,-200,0.242194945,0.400282365,0.320159912,0.790437098,63.73968272,0.003254064
-700,400,0.235880642,0.393690715,0.318374634,0.789050366,63.18915021,0.003037442
-900,700,0.062087196,0.062087196,0.279708862,0,161.2823941,0.002527243
-400,0,0.245073358,0.39974387,0.319259644,0.773352563,66.39155758,0.002331459
-600,500,0.235523782,0.395796691,0.317230225,0.801364544,62.76597515,0.002039219
-1100,-800,0.006826541,0.006826541,0.279708862,0,165.476481,0.001643286
-1100,-700,0.006826541,0.006826541,0.279708862,0,165.476481,0.001643286
-1100,-600,0.006826541,0.006826541,0.279708862,0,165.476481,0.001643286
-1100,-500,0.006826541,0.006826541,0.279708862,0,165.476481,0.001643286
-1100,-400,0.006826541,0.006826541,0.279708862,0,165.476481,0.001643286
-1100,400,0.006826541,0.006826541,0.279708862,0,165.476481,0.001643286
-1100,500,0.006826541,0.006826541,0.279708862,0,165.476481,0.001643286
-1100,600,0.006826541,0.006826541,0.279708862,0,165.476481,0.001643286
-1100,700,0.006826541,0.006826541,0.279708862,0,165.476481,0.001643286
-1100,800,0.006826541,0.006826541,0.279708862,0,165.476481,0.001643286
500,700,0.25555981,0.384281798,0.309127808,0.64360994,80.52995341,0.001411101
-500,-400,0.244266264,0.394632361,0.320709229,0.751830486,66.94935656,0.001127684
-1100,300,0.015634828,0.015634828,0.279708862,0,165.4977258,0.000355532
600,0,0.239860808,0.397016344,0.319885254,0.785777679,66.93254937,-7.05E-05
-200,700,0.253492734,0.403026792,0.316314697,0.747670291,68.90808742,-0.000508671
1000,-900,0.014108398,0.014108398,0.279708862,0,165.4961726,-0.000754724
-800,-600,0.242549634,0.277783714,0.288665771,0.176170402,138.476592,-0.000965916
-100,-600,0.237388139,0.398215741,0.31729126,0.804138008,61.4254493,-0.001018922
100,200,0.246298768,0.398062691,0.319198608,0.758819614,67.66723985,-0.001213836
100,400,0.243122856,0.400611207,0.320236206,0.787441757,64.75998447,-0.001217069
300,600,0.24173165,0.395636687,0.32232666,0.769525183,66.53816286,-0.00122881
1000,200,0.123334724,0.127284136,0.280548096,0.01974706,162.7516641,-0.002060829
800,-100,0.254043117,0.392139412,0.313079834,0.690481473,75.4083093,-0.002506708
400,-200,0.242643095,0.402671939,0.319854736,0.80014422,62.46610828,-0.002741696
-600,300,0.242439566,0.395712252,0.315322876,0.766363435,67.86493233,-0.003204954
900,-400,0.177166221,0.190256969,0.281600952,0.065453739,154.5110384,-0.003222966
0,-300,0.239973129,0.392424871,0.314712524,0.762258709,67.05707788,-0.00343567
1000,-300,0.081518191,0.081651317,0.280303955,0.000665631,165.1061682,-0.003564009
800,-300,0.261859775,0.35919725,0.3021698,0.486687375,99.81134901,-0.004399965
800,-800,0.003595165,0.003595165,0.279708862,0,160.9732083,-0.005238214
800,800,0.007463707,0.007463707,0.279708862,0,160.9732083,-0.005238214
-1100,-900,0.007420689,0.007420689,0.279708862,0,165.5827047,-0.005486168
800,-700,0.0325861,0.032697038,0.279708862,0.000554693,160.9333259,-0.005795067
500,-300,0.239201013,0.395358102,0.318328857,0.780785445,64.89311072,-0.005817117
700,-300,0.252727164,0.409072849,0.316741943,0.781728422,63.02235412,-0.005907547
-600,-400,0.244448645,0.402458408,0.319854736,0.790048813,62.92106723,-0.005922189
